# VWRP holdings from Vanguard's export, data as at 31 Aug 2026.
# Trimmed to the 626 holdings that could plausibly reach the top 150 within a year:
# the 150th carries 0.1083%, everything here is above 0.0271% (a 4x move). 82.3% of the fund.
#
# vanguard_weight is the fund's REAL published weight, not an estimate.
ticker,region,vanguard_weight,name
1120.SR,SA,0.046300,Al Rajhi Bank
LONN.SW,CH,0.046300,Lonza Group AG
LHX,US,0.045800,L3Harris Technologies Inc
AZO,US,0.045600,AutoZone Inc
RIO.AX,AU,0.045400,Rio Tinto Ltd
WAB,US,0.045200,Westinghouse Air Brake Technologies Corp
2914.T,JP,0.045200,Japan Tobacco Inc
CMG,US,0.045200,Chipotle Mexican Grill Inc
HONA,US,0.045100,Honeywell Aerospace Inc
VMRK,US,0.045100,Vivmark Residential
COHR,US,0.045100,Coherent Corp
BN.PA,FR,0.044700,Danone SA
NU,US,0.044700,NU Holdings Ltd/Cayman Islands
2383.TW,TW,0.044600,Elite Material Co Ltd
ROK,US,0.044500,Rockwell Automation Inc
2318.HK,HK,0.044200,Ping An Insurance Group Co of China Ltd
RACE.MI,IT,0.043900,Ferrari NV
HUM,US,0.043800,Humana Inc
INVE-B.ST,SE,0.043700,Investor AB
G.MI,IT,0.043700,Generali
ETR,US,0.043400,Entergy Corp
VST,US,0.043300,Vistra Corp
FITB,US,0.043300,Fifth Third Bancorp
EBAY,US,0.043000,eBay Inc
XEL,US,0.043000,Xcel Energy Inc
8591.T,JP,0.042900,ORIX Corp
CARR,US,0.042900,Carrier Global Corp
9999.HK,HK,0.042800,NetEase Inc
IQV,US,0.042700,IQVIA Holdings Inc
NKE,US,0.042700,NIKE Inc
GRMN,US,0.042100,Garmin Ltd
CSU.TO,CA,0.042000,Constellation Software Inc/Canada
8002.T,JP,0.042000,Marubeni Corp
ATD.TO,CA,0.041700,Alimentation Couche-Tard Inc
ALAB,US,0.041700,Astera Labs Inc
RKT.L,GB,0.041700,Reckitt Benckiser Group PLC
ASM.AS,NL,0.041700,ASM International NV
CVE.TO,CA,0.041600,Cenovus Energy Inc
EOAN.DE,DE,0.041500,E.ON SE
ROP,US,0.041200,Roper Technologies Inc
MSTR,US,0.041200,Strategy Inc
IDXX,US,0.041000,IDEXX Laboratories Inc
INVE-A.ST,SE,0.040900,Investor AB
EXC,US,0.040800,Exelon Corp
105560.KS,KR,0.040800,KB Financial Group Inc
OXY,US,0.040500,Occidental Petroleum Corp
NTRA,US,0.040200,Natera Inc
A,US,0.040100,Agilent Technologies Inc
NDAQ,US,0.040000,Nasdaq Inc
1303.TW,TW,0.040000,Nan Ya Plastics Corp
HLN.L,GB,0.040000,Haleon PLC
ATCO-B.ST,SE,0.039800,Atlas Copco AB
WDS.AX,AU,0.039800,Woodside Energy Group Ltd
VTR,US,0.039800,Ventas Inc
IBKR,US,0.039700,Interactive Brokers Group Inc
CBRE,US,0.039600,CBRE Group Inc
COIN,US,0.039600,Coinbase Global Inc
AXON,US,0.039600,Axon Enterprise Inc
HOLN.SW,CH,0.039500,Holcim AG
9434.T,JP,0.039400,SoftBank Corp
SGO.PA,FR,0.039300,Cie de Saint-Gobain SA
